,precision,recall,f1-score,support
fear,0.34415584415584416,0.310546875,0.3264887063655031,1024.0
neutral,0.33426573426573425,0.38767234387672345,0.35899361622230563,1233.0
surprise,0.5883116883116883,0.5451263537906137,0.565896314803248,831.0
disgust,0.5882352941176471,0.18018018018018017,0.27586206896551724,111.0
angry,0.36923076923076925,0.25052192066805845,0.2985074626865672,958.0
sad,0.3301038062283737,0.3825180433039294,0.35438335809806837,1247.0
happy,0.48727272727272725,0.5287485907553551,0.5071640984049742,1774.0
accuracy,0.4073558094176651,0.4073558094176651,0.4073558094176651,0.4073558094176651
macro avg,0.4345108376546834,0.3693306153678372,0.3838993750780263,7178.0
weighted avg,0.4107732943537174,0.4073558094176651,0.40477004719274123,7178.0
